,age,gender,review,education,purchased
0,30,Female,Average,School,No
1,68,Female,Poor,UG,No
2,70,Female,Good,PG,No
3,72,Female,Good,PG,No
4,16,Female,Average,UG,No
5,31,Female,Average,School,Yes
6,18,Male,Good,School,No
7,60,Female,Poor,School,Yes
8,65,Female,Average,UG,No
9,74,Male,Good,UG,Yes
10,98,Female,Good,UG,Yes
11,74,Male,Good,UG,Yes
12,51,Male,Poor,School,No
13,57,Female,Average,School,No
14,15,Male,Poor,PG,Yes
15,75,Male,Poor,UG,No
16,59,Male,Poor,UG,Yes
17,22,Female,Poor,UG,Yes
18,19,Male,Good,School,No
19,97,Male,Poor,PG,Yes
20,57,Female,Average,School,Yes
21,32,Male,Average,PG,No
22,18,Female,Poor,PG,Yes
23,96,Female,Good,School,No
24,16,Female,Average,PG,Yes
25,57,Female,Good,School,No
26,53,Female,Poor,PG,No
27,69,Female,Poor,PG,No
28,48,Male,Poor,School,No
29,83,Female,Average,UG,Yes
30,73,Male,Average,UG,No
31,22,Female,Poor,School,Yes
32,92,Male,Average,UG,Yes
33,89,Female,Good,PG,Yes
34,86,Male,Average,School,No
35,74,Male,Poor,School,Yes
36,34,Female,Good,UG,Yes
37,94,Male,Average,PG,Yes
38,45,Female,Good,School,No
39,76,Male,Poor,PG,No
40,39,Male,Good,School,No
41,23,Male,Good,PG,Yes
42,30,Female,Good,PG,Yes
43,27,Male,Poor,PG,No
44,77,Female,Average,UG,No
45,61,Male,Poor,PG,Yes
46,64,Female,Poor,PG,No
47,38,Female,Good,PG,Yes
48,39,Female,Good,UG,Yes
49,25,Female,Good,UG,No
